휴양지	休养胜地
<교역의 시대 이벤트>\n1. 이벤트 기간 내에 교역을 통해 은화로 이윤을 남겨보세요.\n2. 교역으로 얻은 은화의 이윤이 [FFD800FF]100,000 이상[-]이면 특별한 보상을 드립니다.\n3. 은화의 이윤은 누적되어 계산됩니다.\n4. 이벤트 보상은 한 번만 지급됩니다.\n\n<보상 내용>\n1.[FFD800FF]1만 골드[-]\n2. [FFD800FF]풍족한 자원섬 이용권[-] 7개\n\n<진행도>\n{0} / 100,000	<交易时代活动>\n1 .请在活动期间内，通过交易来获取利润\n2. 通过交易获取的银币利润达到[FFD800FF]100,000以上[-]时，赠送特别的奖励\n3. 银币利润将累计计算\n4. 活动奖励仅发放一次\n\n<奖励内容>\n1.[FFD800FF]1万金币[-]\n2. [FFD800FF]丰足的资源岛使用券[-]7个\n\n<进度>\n{0} / 100,000
연맹 건물은 회수할 수 있습니다. 회수에는 제약 조건이 없지만, 연맹 요새 또는 연맹 부표를 회수하면 영토가 사라집니다. 해당 영토 내에 있던 연맹 건물의 기능이 사라지니 주의해야 합니다.\n회수한 건물을 재배치 포인트를 사용해 다시 배치시킬 수 있습니다.\n이 포인트가 부족하면 회수한 연맹 건물을 배치할 수 없습니다. 재배치 포인트는 사용하면 일정 시간이 지나면 다시 채워지니 다시 채워진 이후에 회수한 연맹 건물을 배치할 수 있습니다.	联盟建筑可撤消，虽然撤消没有限制条件，但是要注意撤消联盟堡垒或联盟浮标其领土将会消失，并且领土内的联盟建筑的功能也会随之消失\n撤消的建筑可重新布置，重新布置时需要消耗重新布置点数\n若此点数不足，则无法重新布置撤回的联盟建筑\n重新布置点数将会自动恢复，点数重新填满后即可重新布置撤消的联盟建筑
신규 컨텐츠 업데이트를 위한 점검이 완료되었습니다.\n자세한 업데이트 내용은 아래를 참고해 주시기 바랍니다.\n점검 내용 : \n1. 신규 컨텐츠 추가\n2. 오류 수정\n3. 밸런스 조정\n더 자세한 내용은 공식 카페에서 확인하실 수 있습니다.\n바로가기 : Cafe.naver.com/OceansAndEmpires\n게임과 관련하여 궁금하신 점이 있으시면 고객센터(http://joycityone.zendesk.com)로 문의하여 주시기 바랍니다.	为更新新内容而进行的维护已结束\n详情请查看如下内容\n维护内容:\n1、更新新内容\n2、修改错误\n3、调整平衡性\n详情请查看官方论坛\n论坛地址:http://weibo.com/6019170258/profile?topnav=1&wvr=6\n关于游戏，如有其它疑问，请联系客服中心\n(http://joycityone.zendesk.com)进行咨询
신규 컨텐츠 업데이트를 위한 점검이 완료되었습니다.\n자세한 업데이트 내용은 아래를 참고해 주시기 바랍니다.\n점검 내용 : \n1. 신규 컨텐츠 추가\n2. 오류 수정\n3. 밸런스 조정\n더 자세한 내용은 공식 카페에서 확인하실 수 있습니다.\n바로가기 : Cafe.naver.com/OceansAndEmpires\n게임과 관련하여 궁금하신 점이 있으시면 고객센터(http://oceansandempires.zendesk.com)로 문의하여 주시기 바랍니다.	为更新新内容而进行的维护已结束\n详情请查看如下内容\n维护内容:\n1、更新新内容\n2、修改错误\n3、调整平衡性\n详情请查看官方论坛\n论坛地址:http://weibo.com/6019170258/profile?topnav=1&wvr=6\n关于游戏，如有其它疑问，请联系客服中心\n(http://oceansandempires.zendesk.com)进行咨询
<교역의 시대 이벤트>\n1. 이벤트 기간 내에 교역을 통해 은화로 이윤을 남겨보세요.\n2. 교역으로 얻은 은화의 이윤이 [FFD800FF]100,000 이상[-]이면 특별한 보상을 드립니다.\n3. 은화의 이윤은 누적되어 계산됩니다.\n4. 이벤트 보상은 한 번만 지급됩니다.\n\n<보상 내용>\n1.[FFD800FF]1만 골드[-]\n2. [FFD800FF]풍족한 자원섬 이용권[-] 7개\n\n [FFD800FF]이벤트를 완료하였습니다. 축하합니다![-]	<交易时代活动>\n1. 请在活动期间内，通过交易来获取利润\n2. 通过交易获取的银币利润达到[FFD800FF]100,000以上[-]时，赠送特别的奖励\n3. 银币利润将累计计算\n4. 活动奖励仅发放一次\n\n<奖励内容>\n1.[FFD800FF]1万金币[-]\n2. [FFD800FF]丰足的资源岛使用券[-]7个\n\n[FFD800FF]恭喜您!已完成活动![-]
LV1 몬스터 처치 시 [b]960포인트[/b]획득\nLV2 몬스터 처치 시 [b]2880포인트[/b]획득\nLV3 몬스터 처치 시 [b]5760포인트[/b]획득\nLV4 몬스터 처치 시 [b]15360포인트[/b]획득\n\nLV1~3 레이드 몬스터 처치 시 [b]160,000포인트[/b]획득\nLV4~6 레이드 몬스터 처치 시 [b]200,000포인트[/b]획득\nLV7~9 레이드 몬스터 처치 시 [b]280,000포인트[/b]획득	击杀1级怪物时获得[b]960点[/b]\n击杀2级怪物时获得[b]2,880点[/b]\n击杀3级怪物时获得[b]5,760点[/b]\n击杀4级怪物时获得[b]15,360点[/b]\n\n击杀1~3级团队战怪物时获得[b]160,000点[/b]\n击杀4~6级团队战怪物时获得[b]200,000点[/b]\n击杀7~9级团队战怪物时获得[b]280,000点[/b]
LV1 몬스터 공격 시 [b]380포인트[/b]획득\nLV1 몬스터 처치 시 [b]680포인트[/b]획득\nLV2 몬스터 공격 시 [b]530포인트[/b]획득\nLV2 몬스터 처치 시 [b]1500포인트[/b]획득\nLV3 몬스터 공격 시 [b]820포인트[/b]획득\nLV3 몬스터 처치 시 [b]2730포인트[/b]획득\nLV4 몬스터 공격 시 [b]950포인트[/b]획득\nLV4 몬스터 처치 시 [b]5060포인트[/b]획득	攻击1级怪物时获得[b]380点[/b]\n击杀1级怪物时获得[b]680点[/b]\n攻击2级怪物时获得[b]530点[/b]\n击杀2级怪物时获得[b]1500点[/b]\n攻击3级怪物时获得[b]820点[/b]\n击杀3级怪物时获得[b]2730点[/b]\n攻击4级怪物时获得[b]950点[/b]\n击杀4级怪物时获得[b]5060点[/b]
연맹 요새를 건설하면 일정 영역에 영토를 만들어 주고, 영토 내에 있는 연맹원의 영지는 연맹 기술 효과를 받을 수 있습니다. 바다 어디에도 배치할 수 있지만 타 연맹의 영토가 해당 건물의 영토와 겹쳐지게 배치는 불가능합니다.\n연맹 요새를 완공하려면 연맹원들의 자원 지원으로 가능하며, 적의 공격으로 내구도가 줄었을 때도 자원 지원을 통해 수리가 가능합니다. 하지만 내구도가 0이 되면 연맹 요새는 파괴되고, 영토도 함께 사라집니다. 이때 영토에 있던 모든 연맹 건물은 그 기능을 상실합니다.	建设联盟堡垒即可形成一定范围的领土，领土内联盟成员的领地将会受到联盟技能的效果\n联盟堡垒可布置在海上随机的位置，但是不能与其它联盟领地重叠\n联盟堡垒可通过联盟成员们的资源援助来建造，若受到敌军的攻击，其耐久度会受损\n受损的耐久度可通过联盟援助进行修改，但耐久度变成0时联盟堡垒将被破坏\n其领土也会消失，领土内所有联盟建筑会随之丧失其功能
연맹 부표는 연맹 요새와 같은 기능을 가집니다. 차이점은 여러 개를 배치할 수 있다는 점과 연맹 요새보다는 좁은 영토를 가진다는 점입니다. 연맹 부표는 연맹 요새와 마찬가지로 타 연맹의 영토와 연맹 부표의 영토가 겹치지 않는 공간에 배치할 수 있습니다.\n연맹 부표는 자원 지원을 통해 건설할 수 있고, 내구도가 존재해 적이 공격할 수 있습니다. 적의 공격으로 내구도가 줄면 자원 지원을 통해 수리할 수 있지만 내구도가 0이 되면 파괴되어 영토가 사라지고, 해당 영토 내의 연맹 건물이 기능을 상실합니다.	联盟浮标具有和联盟堡垒一样的功能，区别在于联盟浮标可布置多个，并且占据的领土面积比联盟堡垒小。联盟浮标与联盟堡垒一样，可在不与其它联盟的领土重叠的空间进行布置\n联盟浮标可通过资源援助来建设，存在耐久度并可被敌军攻击。遭受攻击时耐久度会降低，可通过资源援助进行修理，但在耐久度变为0时会被破坏，其领土将消失，该领土内的联盟建筑将失去其功能
<O&E 100일 축하 풍선 받기>\n[b][FFD800FF]매일 이벤트[-][/b]의 포인트 달성 보상 상자와 일일 랭킹 보상에서 획득할 수 있습니다.\n\n<100일 축하 폭죽 만들기>\n1. [b][FFD800FF]O&E 100일 축하 풍선 [-][/b]을 [b][FFD800FF]100개[-][/b] 사용하면 [b][FFD800FF]100일 축하 폭죽 [-][/b]을 획득할 수 있습니다.\n2. 폭죽 아이템을 사용하면 자원 선물과 함께 축하 폭죽을 터트릴 수 있습니다.\n모두 함께 축하해주세요!	<领取航海冲突百日气球>\n[b]达成[FFD800FF]每日活动[-][/b]点数后获得的宝箱和每日排名奖励中可获得\n\n<制作庆祝百日爆竹>\n1、使用[b][FFD800FF]100个[-][/b][b][FFD800FF]航海冲突百日气球[-][/b]，可获得[b][FFD800FF]庆祝百日爆竹[-][/b]\n2、使用爆竹道具，可获得资源，并可燃放爆竹\n大家一起来祝贺吧!
[b]<참여방법>[/b]\n\n1. 소속된 연맹이 없다면 연맹 가입 후 참여 가능합니다.\n2. 이벤트 기간동안 [FFD800FF]연맹 특성 연구[-]에 자원 기부를 [FFD800FF]350회 완료[-]하면 특별한 보상을 드립니다.\n3. 보상은 이벤트 기간 동안 한 번만 지급되며 우편함에서 확인할 수 있습니다.\n\n[b]<진행 상황>[/b]\n[FFD800FF]이벤트 완료를 축하 드립니다![-]\n\n[b]<보상>[/b]\n[FFD800FF]골드 10000 x 3개\n풍족한 자원섬 이용권 x 7개[-]	[b]<参加方法>[/b]\n\n1. 若没有所属联盟，必须先加入联盟后，才可参加活动\n2. 在活动期间内，为[FFD800FF]研究联盟天赋[-][FFD800FF]完成350次[-]捐献资源，即赠特别的奖励\n3. 该奖励在活动期间内仅发放一次，可在邮箱内查看\n\n[b]<进度>[/b]\n[FFD800FF]恭喜您完成活动![-]\n\n[b]<奖励>[/b]\n[FFD800FF]10,000金币x 3个\n丰足的资源岛使用券 x 7个[-]
<폭죽 만들기>\n1. 폭죽 재료를 수집하면 인벤토리에서 폭죽을 제작할 수 있습니다.\n2. [b][FFD800FF]황[-][/b]: 몬스터를 사냥하면 일정확률로 획득할 수 있습니다.\n3. [b][FFD800FF]숯[-][/b]: 장비를 제작하면 획득할 수 있습니다.\n4. [b][FFD800FF]초석[-][/b]: 제국군의 영지를 약탈하면 획득할 수 있습니다.\n\n<세벳돈 받기>\n1. 유저와의 전투에서 승리해 획득한 킬포인트의 양에 따라 소박한, 넉넉한, 두둑한 세뱃돈 중 하나를 획득할 수 있습니다.	<制作爆竹>\n1、收集爆竹材料，可在背包内制作爆竹\n2、[b][FFD800FF]硫磺[-][/b]:狩猎怪物，可按一定几率获得\n3、[b][FFD800FF]木炭[-][/b]:制作装备可获得\n4、[b][FFD800FF]硝酸钠[-][/b]:夺取帝国军的领地可获得\n\n<获得压岁钱>\n1.根据与玩家战斗获得的挑战点数，可在朴素的红包、充足的红包和厚重的红包中获得一种
[b]<참여방법>[/b]\n\n1. 소속된 연맹이 없다면 연맹 가입 후 참여 가능합니다.\n2. 이벤트 기간동안 [FFD800FF]연맹 특성 연구[-]에 자원 기부를 [FFD800FF]350회 완료[-]하면 특별한 보상을 드립니다.\n3. 보상은 이벤트 기간 동안 한 번만 지급되며 우편함에서 확인할 수 있습니다.\n\n[b]<진행 상황>[/b]\n[FFD800FF]연맹 특성 기부 : {0}/350[-]\n\n[b]<보상>[/b]\n[FFD800FF]골드 10000 x 3개\n풍족한 자원섬 이용권 x 7개[-]	[b]<参加方法>[/b]\n\n1. 若没有所属联盟，必须先加入联盟后，才可参加活动\n2. 在活动期间内，为[FFD800FF]研究联盟天赋[-][FFD800FF]完成350次[-]捐献资源，即赠特别的奖励\n3. 该奖励在活动期间内仅发放一次，可在邮箱内查看\n\n[b]<进度>[/b]\n[FFD800FF]捐献联盟天赋 : {0}/350[-]\n\n[b]<奖励>[/b]\n[FFD800FF]10,000金币x 3个\n丰足的资源岛使用券 x 7个[-]
<약탈자의 길>\n1. 이벤트 기간 내에 약탈한 [FFD800FF]4옵션 5티어 이상의 장비[-]를 획득하세요.\n2. 약탈한 장비중 하나라도 획득하면 특별한 보상을 드립니다.\n3. 이벤트가 24시간이 남지않은 시점에서 약탈한 장비는 이벤트 대상에서 제외됩니다.\n4. 이벤트 보상은 한 번만 지급됩니다.\n\n<보상 내용>\n1. [FFD800FF]8만 골드[-]\n2. [FFD800FF]영광의 메달[-] 30개\n3. [FFD800FF]심해의 보석[-] 300개\n\n<진행상황>\n약탈 장비 획득 {0} / 1	<夺取者之路>\n1. 请在活动期间内，获得夺取的[FFD800FF]5阶(4属性)以上装备[-]\n2. 只要在夺取的装备中获得1种，即赠特别的奖励\n3. 离活动结束不到24小时内，夺取的装备将从活动对象中除外\n4. 活动奖励仅发放一次\n\n<活动奖励>\n1.  [FFD800FF]8万金币[-]\n2. 30个[FFD800FF]荣耀的奖牌[-]\n3. 300个[FFD800FF]深海宝石[-]\n\n<进度>\n获得夺取的装备 {0}/1
자신보다 6레벨 이상 낮은 다른 유저의 영지를 공격하여 성공하면 '전쟁 보호 제한 상태' 가 됩니다.\n\n전쟁 보호 제한 상태에서는 전쟁 보호 아이템을 사용할 수 없습니다.\n상대와의 레벨 차이가 크면 전쟁 보호 제한 상태가 더 오래 지속되며 공격에 성공할 때마다 시간이 누적됩니다.\n\n단, 동일한 계정에서 영주 변경 메뉴로 생성한 자신 소유의 다른 영지를 공격하는 경우와\n자신의 연맹 영토에 위치한 다른 연맹의 영지를 공격하는 경우,\n수비 측 영지의 레벨이 25이상인 경우에는 전쟁 보호 제한 상태가 적용되지 않습니다.\n	攻击比自己等级低6级以上的领主领地并取得成功，将会进入‘禁止免战状态’\n\n在禁止免战状态下，无法使用免战道具\n与对方等级差异越多，禁止免战状态持续时间越长，每一次攻击成功，其时间就累计下来\n\n攻击在相同账号下以另一领主创建的自己所有的另一领地\n或攻击位置在自己联盟领土内的其它联盟领地时\n或者防守方的领地等级为25级以上时，则不启用禁止免战状态
<약탈자의 길>\n1. 이벤트 기간 내에 약탈한 [FFD800FF]4옵션 5티어 이상의 장비[-]를 획득하세요.\n2. 약탈한 장비중 하나라도 획득하면 특별한 보상을 드립니다.\n3. 이벤트가 24시간이 남지않은 시점에서 약탈한 장비는 이벤트 대상에서 제외됩니다.\n4. 이벤트 보상은 한 번만 지급됩니다.\n\n<보상 내용>\n1. [FFD800FF]8만 골드[-]\n2. [FFD800FF]영광의 메달[-] 30개\n3. [FFD800FF]심해의 보석[-] 300개\n\n[FFD800FF]이벤트를 완료하였습니다. 축하합니다![-]	<夺取者之路>\n1. 请在活动期间内，获得夺取的[FFD800FF]5阶(4属性)以上装备[-]\n2. 只要在夺取的装备中获得一种，即赠特别的奖励\n3. 离活动结束不到24小时内，夺取的装备将从活动对象中除外\n4. 活动奖励仅发放一次\n\n<活动奖励>\n1. [FFD800FF]8万金币[-]\n2. 30个[FFD800FF]荣耀的奖牌[-]\n3. 300个[FFD800FF]深海宝石[-]\n\n[FFD800FF]恭喜您完成活动[-]
제국#{0}과 제국#{1}이 통일되었습니다!\n다양한 영주님들과 연맹을 맺고\n성장시켜 나가보시길 바랍니다!\n\n<영지위치 이동>\n제국이 통일되며 영지가 임의의 위치로 이동되었습니다.\n동봉된 영지 이동권을 사용해 원하는 곳으로 영지를 이동시켜보시기 바랍니다.\n\n<연맹>\n기존의 자리에 위치해있던 연맹 건물들이 모두 회수되어\n연맹 건물을 재배치할 수 있는 포인트가 제공되었습니다.\n원하는 위치에 연맹 건물을 배치해보시기 바랍니다.\n\n*서버 이전을 원하시면 [환경설정]-[계정관리]-[서버 이전 지원]기능을 이용해보시기 바랍니다.	帝国#{0}与帝国#{1}已被统一!\n希望您与更多的领主结盟\n同谋发展!\n\n<迁城>\n因帝国被统一，领主的领地迁移到了随机的位置\n使用赠送的迁城券，您可以将领地迁移至您所希望的位置\n\n<联盟>\n原位置上的联盟建筑全部被撤消\n赠送了重新布置点数\n请把建筑布置到所需的位置\n\n*若要进行转服，请利用\n[设置]-[账号管理]-[转服支援]功能
<대장간의 달인 이벤트>\n1. 이벤트 기간 내에 5옵션 이상인 동시에 7티어 이상인 장비 제작에 성공하면 특별한 보상을 드립니다.\n2. 강화를 통해 해당 장비를 획득해도 이벤트에 참여하실 수 있습니다.\n3. 이미 획득한 장비는 이벤트에서 제외됩니다.\n4. 보상은 해당 장비를 제작 및 강화에 성공하는 즉시 우편으로 지급됩니다.\n\n<보상 내용>\n1. [FFD800FF]30만 골드[-]\n2. [FFD800FF]영광의 메달[-] 70개\n3. [FFD800FF]진귀한 보물상자[-] 70개\n\n<진행 상황>\n장비 획득 {0} / 1	<铁匠铺的达人活动>\n1. 活动期间内，成功制作5属性以上并同时为7阶位以上装备，即赠特别的奖励\n2. 通过强化获得相应装备，也可参加活动\n3. 已获得的装备将在本次活动中除外\n4. 奖励将在成功制作及强化相应装备时，立即发送至邮箱\n\n<奖励内容>\n1. [FFD800FF]30万金币[-]\n2. 70个[FFD800FF]荣耀的奖牌[-]\n3. 70个[FFD800FF]珍贵的宝箱[-]\n\n<进度>\n获得装备 {0}/1
통합제국#{0}과 통합제국#{1}이 통일되었습니다!\n다양한 영주님들과 연맹을 맺고\n성장시켜 나가보시길 바랍니다!\n\n<영지위치 이동>\n제국이 통일되며 영지가 임의의 위치로 이동되었습니다.\n동봉된 영지 이동권을 사용해 원하는 곳으로 영지를 이동시켜보시기 바랍니다.\n\n<연맹>\n기존의 자리에 위치해있던 연맹 건물들이 모두 회수되어\n연맹 건물을 재배치할 수 있는 포인트가 제공되었습니다.\n원하는 위치에 연맹 건물을 배치해보시기 바랍니다.\n\n*서버 이전을 원하시면 [환경설정]-[계정관리]-[서버 이전 지원]기능을 이용해보시기 바랍니다.	合并帝国#{0}与合并帝国{1}已被统一!\n希望您与更多的领主结盟\n同谋发展!\n\n<迁城>\n因帝国被统一，领主的领地迁移到了随机的位置\n使用赠送的迁城券，您可以将领地迁移至您所希望的位置\n\n<联盟>\n原位置上的联盟建筑全部被撤消\n赠送了重新布置点数\n请把建筑布置到所需的位置\n\n*若要进行转服，请利用\n[设置]-[账号管理]-[转服支援]功能
베테랑제국#{0}과 베테랑제국#{1}이 통일되었습니다!\n다양한 영주님들과 연맹을 맺고\n성장시켜 나가보시길 바랍니다!\n\n<영지위치 이동>\n제국이 통일되며 영지가 임의의 위치로 이동되었습니다.\n동봉된 영지 이동권을 사용해 원하는 곳으로 영지를 이동시켜보시기 바랍니다.\n\n<연맹>\n기존의 자리에 위치해있던 연맹 건물들이 모두 회수되어\n연맹 건물을 재배치할 수 있는 포인트가 제공되었습니다.\n원하는 위치에 연맹 건물을 배치해보시기 바랍니다.\n\n*서버 이전을 원하시면 [환경설정]-[계정관리]-[서버 이전 지원]기능을 이용해보시기 바랍니다.	皇室帝国#{0}与皇室帝国#{1}已被统一!\n希望您与更多的领主结盟\n同谋发展!\n\n<迁城>\n因帝国被统一，领主的领地迁移到了随机的位置\n使用赠送的迁城券，您可以将领地迁移至您所希望的位置\n\n<联盟>\n原位置上的联盟建筑全部被撤消\n赠送了重新布置点数\n请把建筑布置到所需的位置\n\n*若要进行转服，请利用\n[设置]-[账号管理]-[转服支援]功能
<대장간의 달인 이벤트>\n1. 이벤트 기간 내에 5옵션 이상인 동시에 7티어 이상인 장비 제작에 성공하면 특별한 보상을 드립니다.\n2. 강화를 통해 해당 장비를 획득해도 이벤트에 참여하실 수 있습니다.\n3. 이미 획득한 장비는 이벤트에서 제외됩니다.\n4. 보상은 해당 장비를 제작 및 강화에 성공하는 즉시 우편으로 지급됩니다.\n\n<보상 내용>\n1. [FFD800FF]30만 골드[-]\n2. [FFD800FF]영광의 메달[-] 70개\n3. [FFD800FF]진귀한 보물상자[-] 70개\n\n<진행 상황>\n[FFD800FF]이벤트 완료를 축하 드립니다![-]	<铁匠铺的达人活动>\n1. 活动期间内，成功制作5属性以上并同时为7阶位以上装备，即赠特别的奖励\n2. 通过强化获得相应装备，也可参加活动\n3. 已获得的装备将在本次活动中除外\n4. 奖励将在成功制作及强化相应装备时，立即发送至邮箱\n\n<奖励内容>\n1. [FFD800FF]30万金币[-]\n2. 70个[FFD800FF]荣耀的奖牌[-]\n3. 70个[FFD800FF]珍贵的宝箱[-]\n\n<进度>\n[FFD800FF]恭喜您完成活动![-]
연맹 자원창고는 연맹원들의 자원을 안전하게 저장할 수 있는 공간을 제공합니다. 연맹 영토 내에만 배치할 수 있으며, 자원 지원을 통해 건설할 수 있습니다. 이 건물은 공격이 불가능합니다.\n연맹 자원창고는 최대 보관 가능량이 존재하며,연맹 특성을 통해 늘릴 수 있습니다. 그리고 일일 보관 가능량이 존재해 하루에 보관할 수 있는 양이 한정적입니다. 역시 연맹 특성을 통해 그 양을 늘릴 수 있습니다.\n연맹 자원창고를 배치한 곳에 영토가 사라지면 저장 기능을 상실하여, 사용이 불가능해집니다. \n연맹 자원창고가 연맹 영토 내부에 위치하게 되면 자원 저장 기능을 다시 회복합니다.	联盟仓库是为联盟成员提供安全储存资源的空间，可通过资源援助建设在联盟领土内\n此建筑对攻击免疫，联盟仓库可储存的资源量有上限限制，其上限量可通过联盟天赋来增加\n并且，存在每日储存量，每天能储存的资源量也有上限限制，通过联盟天赋，也可增加其上限\n若联盟仓库所处的领土消失，则会丧失储存功能，无法继续使用\n若联盟仓库位置在联盟领土内，则会重新恢复储存资源的功能
다른 영주의 영지를 공격하여 자원을 약탈하기 위해서는\n약탈 포인트가 필요합니다. 차감되는 약탈 포인트는 일정 레벨 이하의 차이가 발생하는 영주를 공격하면 추가로 차감됩니다.\n약탈 포인트는 공격을 하러 출발할 때 차감되며, 제국군이나 현재 계정의 다른 영지를 공격하였을 경우에 약탈 포인트가 차감되지 않습니다.\n\n약탈 포인트가 부족할 경우 공격은 가능하지만 약탈을 통해\n자원을 획득할 수 없습니다.\n보유할 수 있는 약탈 포인트의 최대값은 영주의 레벨이 오르면\n증가하며, 시간이 지날수록 서서히 회복하게 됩니다.\n\nVIP레벨을 올리면 약탈 포인트를 추가로 얻을 수 있습니다.	攻击其他领主的领地夺取资源时，需要消耗夺取点数\n若攻击等级有一定差距以内的领主，则扣除的夺取点数会增加\n前往攻击时，就会扣除夺取点数\n攻击帝国军或当前账号下其它领地时，不会扣除夺取点数\n\n夺取点数不足时，可以进行攻击，但不能夺取资源\n随着领主升级，可提高夺取点数上限\n并随着时间会逐渐恢复\n\n提升贵宾等级时，将额外获得夺取点数
[b]Apple의 정기구독상품을 구독하시기 전에 아래 내용을 확인하시길 바랍니다.[/b]\n\nApple의 정기구독상품은(월별 {0}) 구매 후 30일동안 지속됩니다.\n\n결제에 대한 비용은 iTunes 계정으로 청구됩니다.\n\n정기구독상품이 끝나기 최소 24시간 전에 자동갱신기능을\n끄지 않으면 구독 상품이 자동으로 갱신됩니다.\n\n정기구독상품 구매 후 구매자/사용자의 단말기 계정\n세팅에서 자동갱신 기능을 끄고 킬 수 있습니다.\n\n정기구독상품이 끝나기 24시간 전에 구독상품이 갱신되며, 갱신에 대한 가격이 안내됩니다.\n\n 구매 후 상품이 유지되는 기간 동안에는 취소가 불가합니다.	[b]购买苹果的订阅商品前，请先确认下述内容[/b]\n\n购买苹果的订阅商品(每月{0})后，将持续30天\n\n其费用将通过苹果商城账号来进行支付\n\n若要取消下个月的订阅，至少要在24小时前关闭自动更新功能\n若不关闭，将自动更新其订阅商品\n\n购买订阅商品后，在购买人/用户的设备账号\n设置中，可开启或关闭自动更新功能\n\n在订阅商品的有效期结束24小时前，将更新订阅商品，并会提示更新后的价格\n\n购买之后，在商品有效期内，无法取消
[b]Google의 정기구독상품을 구독하시기 전에 아래 내용을 확인하시길 바랍니다.[/b]\n\nGoogle의 정기구독상품은(월별 {0}) 구매 후 30일동안 지속됩니다.\n\n 결제에 대한 비용은 Google Play 계정으로 청구됩니다.\n\n정기구독상품이 끝나기 최소 24시간 전에 자동갱신기능을\n끄지 않으면 구독 상품이 자동으로 갱신됩니다.\n\n정기구독상품 구매 후 구매자/사용자의 단말기 계정\n세팅에서 자동갱신 기능을 끄고 킬 수 있습니다.\n\n정기구독상품이 끝나기 24시간 전에 구독상품이\n 갱신되며, 갱신에 대한 가격이 안내됩니다.\n\n 구매 후 상품이 유지되는 기간동안 취소가 불가합니다.	[b]购买谷歌的订阅商品前，请先确认下述内容[/b]\n\n购买谷歌的订阅商品(每月{0})后，将持续30天\n\n其费用将通过谷歌商城账号来进行支付\n\n若要取消下个月的订阅，至少要在24小时前关闭自动更新功能\n若不关闭，将自动更新其订阅商品\n\n购买订阅商品后，在购买人/用户的设备账号\n设置中，可开启或关闭自动更新功能\n\n在订阅商品的有效期结束24小时前，将更新订阅商品，并会提示更新后的价格\n\n购买之后，在商品有效期内，无法取消
[b]<폭죽 만들기>[/b]\n이벤트 기간 동안 폭죽 재료를 수집하면 인벤토리에서 폭죽을 제작할 수 있습니다.\n제작한 폭죽을 이용하면 바다에서 불꽃놀이를 볼 수 있으며, 동시에 소정의 상품이 인벤토리로 지급됩니다.\n\n[b]<재료 수집 방법>[/b]\n1. [b][FFD800FF]황[-][/b]: 몬스터를 사냥하면 일정확률로 획득할 수 있습니다.\n2. [b][FFD800FF]숯[-][/b]: 장비를 제작하면 장비 옵션 및 티어에 상관없이 1개 획득할 수 있습니다.\n3. [b][FFD800FF]초석[-][/b]: 제국군의 영지를 약탈하면 획득할 수 있습니다.	[b]<制作爆竹>[/b]\n活动期间内收集爆竹材料，可在背包内制作爆竹\n使用制作好的爆竹，可在海上观赏到美丽的烟花绽放，同时还有其它商品将发送至背包内\n\n[b]<材料收集方法>[/b]\n1. [b][FFD800FF]硫磺[-][/b]: 狩猎怪物，按一定几率掉落\n2. [b][FFD800FF]木炭[-][/b]: 与装备属性及阶位无关，制作装备时可获得1个 \n3. [b][FFD800FF]硝酸钠[-][/b]: 可通过夺取帝国军的领地获得
연맹 성벽은 뚫고 지날 수 없어서 이를 이용해 적의 공격을 지연시키고, 연맹 대포탑의 역할을 극대화 시킬 수도 있습니다.\n연맹 성벽은 연맹 영토 내에만 배치할 수 있으며, 자원 지원을 통해 건설합니다. 내구도가 존재해 적이 공격할 수 있습니다. 적의 공격으로 내구도가 줄면 자원지원을 통해 수리할 수 있지만, 내구도가 0이 되면 파괴되어 사라지게 됩니다.\n연맹 성벽이 위치한 곳에 영토가 사라지면 기능을 상실해 연맹 성벽이 있어도 함선의 이동이 가능해집니다. \n적의 공격을 막기 위해 사방을 둘러서 성벽을 배치해 함선이 들어오지 못하게 할 수는 있지만, 그 안에 있는 연맹원들 역시 함선 운용이 불가능하다는 점에 주의하세요.	联盟城墙无法被穿透，因此利用它可延迟敌军的攻击，并可最大限度地提高联盟炮塔的作用\n联盟城墙只能布置在联盟领土内，可通过资源援助进行建设。联盟城墙遭受攻击时\n其耐久度会受损，此时可通过资源援助对其进行修理。如果其耐久度变成0，则联盟城墙会被摧毁\n如果联盟城墙所在的领土消失，则会丧失其功能，舰船可随意出入城墙\n为了防御敌人攻击，也可以环绕四周建设城墙来隔绝外来舰船，但要注意其里面的联盟船队也无法通过城墙
